word,onsets,offsets
thought,249.0359,249.2459
i,249.2459,249.3259
was,249.3259,249.5059
just,249.5059,249.7259
like,249.7259,249.8759
himself,249.8759,250.3655
but,251.2434,251.4384
i,251.4384,251.6184
unfortunately,251.6184,252.7284
don,252.7284,252.9284
t,252.9284,252.9584
know,252.9584,253.0884
how,253.0884,253.2684
to,253.2684,253.3784
see,253.3784,253.6984
sheep,253.6984,254.0284
through,254.0284,254.2584
boxes,254.2584,254.9021
perhaps,255.5306,255.9256
i,255.9256,255.9856
m,255.9856,256.0356
a,256.0356,256.1156
bit,256.1156,256.3956
like,256.3956,256.5756
the,256.5756,256.6356
grownups,256.6356,257.2097
i,257.7934,257.8784
must,257.8784,258.1384
have,258.1384,258.2484
got,258.2484,258.5284
older,258.5284,258.8731
every,260.1949,260.5499
day,260.5499,260.8599
i,260.8599,260.9799
d,260.9799,261.0799
learn,261.0799,261.3399
something,261.3399,261.7899
about,261.7899,262.0299
his,262.0299,262.1999
planet,262.1999,262.7999
the,262.7999,262.9099
departure,262.9099,263.5999
and,263.5999,263.7799
the,263.7799,263.8399
trip,263.8399,264.2383
the,265.0762,265.1912
information,265.1912,265.8612
came,265.8612,266.1012
slowly,266.1012,266.7112
as,266.7112,266.8012
his,266.8012,267.0212
thoughts,267.0212,267.4412
wandered,267.4412,267.9809
it,268.8039,268.9089
was,268.9089,269.0889
in,269.0889,269.3089
this,269.3089,269.5489
way,269.5489,269.8289
that,269.8289,270.1989
on,270.1989,270.3089
the,270.3089,270.3889
third,270.3889,270.7789
day,270.7789,271.0789
i,271.0789,271.5289
came,271.5289,271.8489
to,271.8489,271.9789
know,271.9789,272.0489
of,272.0489,272.3389
the,272.3389,272.4389
tragedy,272.4389,273.0889
of,273.0889,273.1689
the,273.1689,273.2589
baobabs,273.2589,273.9966
this,274.7149,275.0199
time,275.0199,275.3799
again,275.3799,275.8399
it,275.8399,275.9499
was,275.9499,276.0899
thanks,276.0899,276.3899
to,276.3899,276.4899
the,276.4899,276.5599
sheep,276.5599,276.9745
because,277.4184,277.6934
the,277.6934,277.7834
little,277.7834,278.0334
prince,278.0334,278.5134
asked,278.5134,278.7934
me,278.7934,278.9234
abruptly,278.9234,279.9434
as,279.9434,280.0334
if,280.0334,280.1634
seized,280.1634,280.6934
by,280.6934,280.8734
a,280.8734,280.9134
grave,280.9134,281.3434
doubt,281.3434,281.7864
it,282.6344,282.7894
s,282.7894,282.9094
true,282.9094,283.3394
isn,283.3394,283.6294
t,283.6294,283.7094
it,283.7094,283.8792
that,284.0886,284.3236
sheep,284.3236,284.7636
eat,284.7636,284.9236
shrubs,284.9236,285.6231
yes,286.2616,286.7666
it,286.8266,286.9766
s,286.9766,287.0166
true,287.0166,287.3261
oh,288.0743,288.2393
i,288.2393,288.3393
am,288.3393,288.5693
glad,288.5693,288.9443
i,289.8372,289.9422
didn,289.9422,290.1922
t,290.1922,290.2422
understand,290.2422,290.9122
why,290.9122,291.0922
it,291.0922,291.1522
was,291.1522,291.3422
so,291.3422,291.5322
important,291.5322,292.0922
that,292.0922,292.2322
