onsets,offsets,word
273.06,273.62,jamais
273.62,273.7,n'
273.7,274.12,oubliait
274.12,274.27,une
274.27,274.77,question
274.91,275.07,une
275.07,275.28,fois
275.28,275.4,qu'
275.4,275.63,il
275.63,275.65,l'
275.65,275.89,avait
275.89,276.29,posée
276.29,277.24,.
277.24,277.24,-
277.24,277.4,ton
277.4,277.66,coucher
277.66,277.74,de
277.74,278.21,soleil
278.21,278.21,","
278.21,278.33,tu
278.33,278.38,l'
278.38,278.75,auras
278.75,279.05,.
279.05,279.19,je
279.19,279.27,l'
279.27,279.89,exigerai
279.89,280.47,.
280.47,280.64,mais
280.64,280.72,j'
280.72,281.29,attendrai
281.29,281.29,","
281.29,281.47,dans
281.47,281.62,ma
281.62,281.98,science
281.98,282.1,du
282.1,282.79,gouvernement
282.79,283.02,","
283.02,283.13,que
283.13,283.24,les
283.24,283.79,conditions
283.79,283.97,soient
283.97,284.68,favorables
284.68,285.87,.
285.87,285.87,-
285.87,286.07,quand
286.07,286.23,ça
286.23,286.52,sera
286.52,286.52,-
286.52,286.62,t
286.62,286.62,-
286.62,286.97,il
286.97,287.34,?
287.34,287.48,s'
287.48,287.86,informa
287.86,287.97,le
287.97,288.26,petit
288.26,288.81,prince
288.81,289.6,.
289.6,289.6,-
289.6,289.77,hem
289.77,289.97,!
289.97,290.13,hem
290.13,290.55,!
290.55,290.75,lui
290.75,291.2,répondit
291.2,291.29,le
291.29,291.59,roi
291.59,291.86,","
291.86,292.01,qui
292.01,292.57,consulta
292.57,292.63,d'
292.63,293.05,abord
293.05,293.2,un
293.2,293.5,gros
293.5,294.22,calendrier
294.22,294.93,","
294.93,295.17,hem
295.17,295.32,!
295.32,295.53,hem
295.53,296.15,!
296.15,296.45,ce
296.45,296.8,sera
296.8,296.8,","
296.8,297.66,vers
297.66,298.17,...
298.17,298.9,vers
298.9,298.9,...
298.9,299.15,ce
299.15,299.51,sera
299.51,299.63,ce
299.63,300.07,soir
300.07,300.24,vers
300.24,300.49,sept
300.49,300.59,heures
300.59,301.11,quarante
301.11,301.54,!
301.54,301.59,et
301.59,301.75,tu
301.75,302.03,verras
302.03,302.19,comme
302.19,302.29,je
302.29,302.54,suis
302.54,302.8,bien
302.8,303.23,obéi
303.23,304.39,.
304.39,304.39,""""
304.39,304.58,le
304.58,304.87,petit
304.87,305.3,prince
305.3,305.71,bâilla
305.71,306.29,.
306.29,306.47,il
306.47,306.99,regrettait
306.99,307.17,son
307.17,307.49,coucher
307.49,307.61,de
307.61,307.98,soleil
307.98,308.48,manqué
308.48,309.15,.
309.15,309.29,et
309.29,309.6,puis
309.6,309.65,il
309.65,309.78,s'
309.78,310.12,ennuyait
310.12,310.44,déjà
310.44,310.57,un
310.57,310.75,peu
310.75,311.85,:
311.85,311.85,""""
311.85,311.97,je
312.01,312.05,n'
312.05,312.13,ai
312.13,312.24,plus
312.24,312.56,rien
312.56,312.59,à
312.59,312.75,faire
312.75,313.16,ici
313.16,313.4,","
313.4,313.64,dit
313.64,313.64,-
313.64,313.78,il
313.78,313.85,au
313.85,314.15,roi
314.15,314.66,.
314.66,314.84,je
314.84,314.93,vais
314.93,315.69,repartir
315.69,316.36,!
316.36,316.36,-
316.36,316.64,ne
316.64,316.89,pars
316.89,317.15,pas
317.15,317.47,","
317.47,317.9,répondit
317.9,318.03,le
318.03,318.3,roi
318.3,318.5,qui
318.5,318.75,était
318.75,319.05,si
319.05,319.52,fier
319.52,319.59,d'
319.59,319.86,avoir
319.86,319.94,un
319.94,320.37,sujet
320.37,321.01,.
321.01,321.17,ne
321.17,321.37,pars
321.37,321.54,pas
321.54,321.54,","
321.54,321.68,je
321.68,321.8,te
321.8,321.95,fais
321.95,322.56,ministre
322.56,323.31,!
323.31,323.31,-
323.31,323.85,ministre
323.85,323.99,de
323.99,324.24,quoi
324.24,325.08,?
325.08,325.08,-
325.08,325.2,de
325.2,325.54,...
325.54,325.88,de
326.11,326.21,la
326.21,326.84,justice
326.84,327.78,!
327.78,327.78,-
327.78,328.02,mais
328.12,328.24,il
328.24,328.29,n'
328.35,328.37,y
328.37,328.46,a
328.46,328.81,personne
328.81,328.88,à
328.88,329.33,juger
329.33,330.369024,!
330.369024,330.369024,-
330.369024,330.497276,on
330.497276,330.6087990000001,ne
330.6087990000001,330.82,sait
330.82,331.06,pas
331.06,331.31,","
331.31,331.51,lui
331.51,331.63,dit
331.63,331.77,le
331.77,332.09,roi
332.09,332.59,.
332.59,332.75,je
332.75,332.78,n'
332.78,332.89,ai
332.89,333.03,pas
333.03,333.18,fait
333.18,333.6,encore
333.6,333.71,le
333.71,333.92,tour
333.92,333.99,de
333.99,334.13,mon
334.13,334.71,royaume
334.71,335.0,.
335.0,335.11,je
335.11,335.34,suis
335.34,335.64,très
335.64,335.97,vieux
335.97,336.17,","
336.17,336.32,je
336.32,336.37,n'
336.37,336.45,ai
336.45,336.58,pas
336.58,336.7,de
336.7,337.02,place
337.02,337.16,pour
337.16,337.23,un
337.23,337.8,carrosse
337.8,338.15,","
338.15,338.18,et
338.18,338.35,ça
338.35,338.46,me
338.46,338.91,fatigue
338.91,339.02,de
339.02,339.57,marcher
339.57,340.59,.
340.59,340.59,-
340.59,340.87,oh
340.87,340.87,!
340.87,340.98,mais
340.98,341.01,j'
341.01,341.12,ai
341.12,341.44,déjà
341.44,341.64,vu
341.64,341.95,","
341.95,342.1,dit
342.1,342.23,le
342.23,342.49,petit
342.49,342.88,prince
342.88,343.07,qui
343.07,343.28,se
343.28,343.78,pencha
343.78,343.99,pour
343.99,344.37,jeter
344.37,344.78,encore
344.78,344.88,un
344.88,345.01,coup
345.01,345.08,d'
345.08,345.3,oeil
345.3,345.53,sur
345.53,345.59,l'
345.59,345.85,autre
345.85,346.14,côté
346.14,346.26,de
346.26,346.37,la
346.37,346.98,planète
346.98,347.66,.
347.66,347.79,il
347.79,347.82,n'
347.82,347.91,y
347.96,348.02,a
348.02,348.38,personne
348.38,348.61,là
348.61,348.61,-
348.61,348.73,bas
348.73,348.89,non
348.89,349.13,plus
349.13,350.11,...
350.11,350.11,-
350.11,350.25,tu
350.25,350.29,te
350.36,350.78,jugeras
350.78,350.99,donc
350.99,351.17,toi
351.17,351.17,-
351.17,351.63,même
351.63,351.89,","
351.89,352.06,lui
352.06,352.54,répondit
352.54,352.64,le
352.64,352.88,roi
352.88,353.4,.
353.4,353.5,c'
353.5,353.58,est
353.58,353.76,le
353.76,354.0,plus
354.0,354.77,difficile
354.77,355.23,.
355.23,355.4,il
355.4,355.5,est
355.5,355.83,bien
355.83,355.99,plus
355.99,356.55,difficile
356.55,356.62,de
356.62,356.78,se
356.78,357.09,juger
357.09,357.31,soi
357.31,357.31,-
357.31,357.57,même
357.57,357.71,que
357.71,357.8,de
357.8,358.19,juger
358.19,358.65,autrui
358.65,359.25,.
359.25,359.46,si
359.46,359.57,tu
359.57,360.08,réussis
360.08,360.16,à
360.16,360.32,bien
360.32,360.45,te
360.45,360.93,juger
360.93,361.14,","
361.14,361.2,c'
361.2,361.25,est
361.25,361.39,que
361.39,361.52,tu
361.52,361.69,es
361.69,361.81,un
361.81,362.38,véritable
362.38,362.94,sage
362.94,364.11,.
364.11,364.11,-
364.11,364.42,moi
364.42,364.74,","
364.74,364.92,dit
364.92,365.02,le
365.02,365.27,petit
365.27,365.82,prince
365.82,366.24,","
366.24,366.46,je
366.46,366.63,puis
366.63,366.74,me
366.74,367.07,juger
367.07,367.24,moi
367.24,367.24,-
367.24,367.46,même
367.46,367.51,n'
367.51,367.86,importe
367.86,368.01,où
368.01,368.4,.
368.4,368.53,je
368.53,368.59,n'
368.59,368.69,ai
368.69,368.79,pas
368.79,369.09,besoin
369.09,369.15,d'
369.15,369.59,habiter
369.59,369.94,ici
369.94,371.19,.
371.19,371.19,-
371.19,371.33,hem
371.33,371.78,!
371.78,371.99,hem
371.99,372.36,!
372.36,372.62,dit
372.62,372.71,le
372.71,373.0,roi
373.0,373.48,","
373.48,373.65,je
373.65,373.83,crois
373.83,374.12,bien
374.12,374.19,que
374.19,374.37,sur
374.37,374.51,ma
374.51,374.93,planète
374.93,375.05,il
375.05,375.16,y
375.16,375.21,a
375.21,375.51,quelque
375.51,375.8,part
375.8,375.89,un
375.89,376.17,vieux
376.17,376.47,rat
376.47,376.72,.
376.72,376.85,je
376.85,376.9,l'
376.9,377.25,entends
377.25,377.37,la
377.37,377.69,nuit
377.69,378.07,.
378.07,378.22,tu
378.22,378.47,pourras
378.47,378.82,juger
378.82,378.99,ce
378.99,379.17,vieux
379.17,379.43,rat
379.43,379.93,.
379.93,380.04,tu
380.04,380.17,le
380.17,380.89,condamneras
380.89,380.91,à
380.91,381.19,mort
381.19,381.31,de
