word,onsets,offsets
je,221.99344900000003,222.077565
les,222.09333700000002,222.36408500000002
gère,222.39825699999997,222.93
je,223.2,223.35
les,223.35,223.55
compte,223.55,223.94
et,223.94,224.03
je,224.03,224.15
les,224.15,224.31
recompte,224.31,225.0
dit,225.24,225.43
le,225.43,225.54
businessman,225.54,226.29
c',226.86,226.99
est,226.99,227.05
difficile,227.05,227.79
mais,228.16,228.29
je,228.29,228.42
suis,228.42,228.68
un,228.68,228.85
homme,228.85,229.01
sérieux,229.01,229.49
le,230.56,230.71
petit,230.71,231.0
prince,231.0,231.42
n',231.42,231.46
était,231.46,231.71
pas,231.71,231.85
satisfait,231.85,232.44
encore,232.44,232.99
moi,233.94,234.33
si,234.42,234.62
je,234.68,234.81
possède,234.81,235.19
un,235.19,235.28
foulard,235.28,235.83
je,236.16,236.36
puis,236.36,236.57
le,236.57,236.64
mettre,236.64,236.9
autour,236.9,237.12
de,237.12,237.22
mon,237.22,237.39
cou,237.39,237.63
et,237.63,237.71
l',237.71,237.76
emporter,237.76,238.27
moi,238.95,239.23
si,239.39,239.54827400000002
je,239.54827400000002,239.73
possède,239.73,240.08
une,240.08,240.22
fleur,240.22,240.69
je,240.89,241.05
puis,241.05,241.26
cueillir,241.26,241.67
ma,241.67,241.82
fleur,241.82,242.2
et,242.2,242.27
l',242.27,242.31
emporter,242.31,242.88
mais,243.51,243.65
tu,243.65,243.79
ne,243.79,243.92
peux,243.92,244.07
pas,244.07,244.24
cueillir,244.24,244.56
les,244.56,244.74
étoiles,244.74,245.27
non,246.43,246.64
mais,246.79,247.18
je,247.18,247.288444
puis,247.288444,247.43
les,247.43,247.57
placer,247.57,247.96
en,247.96,248.17
banque,248.17,248.6
qu',249.720422,249.80453799999998
est,249.80453799999998,249.854482
ce,249.854482,249.90705400000002
que,249.90705400000002,250.03059900000002
ça,250.03059900000002,250.18
veut,250.18,250.25
dire,250.25,250.71
ça,251.82,251.94
veut,251.94,252.0
dire,252.0,252.35
que,252.35,252.5
j',252.5,252.55
écris,252.55,252.9
sur,252.9,253.08
un,253.08,253.17
petit,253.17,253.46
papier,253.46,253.81
le,253.81,253.96
nombre,253.96,254.38
de,254.38,254.44
mes,254.44,254.66
étoiles,254.66,255.2
et,255.84,255.95
puis,255.95,256.29
j',256.37,256.49
enferme,256.49,256.86
à,256.86,256.95
clef,256.95,257.23
ce,257.23,257.42
papier,257.42,257.81
là,257.81,258.0
dans,258.0,258.2
un,258.2,258.28
tiroir,258.28,258.94
et,260.03,260.07
c',260.07,260.18
est,260.18,260.28
tout,260.28,260.47
ça,261.49,261.58
suffit,261.58,262.1
c',263.423815,263.542103
est,263.560504,263.72
amusant,263.72,264.19
pensa,264.49,264.83
le,264.83,264.95
petit,264.95,265.21
prince,265.21,265.7
c',266.1,266.2
est,266.2,266.34
assez,266.34,266.62
poétique,266.62,267.32
mais,267.87,268.18
